USN       |NAME    |MMA205T|MCA101T|MCA1021|
1RV23MC001|Alice   |85     |78     |92     |
1RV23MC002|Bob     |76     |88     |80     |
1RV23MC003|Charlie |90     |85     |87     |
1RV23MC004|David   |72     |79     |84     |
1RV23MC005|Eve     |88     |91     |89     |
1RV23MC006|Frank   |81     |77     |90     |
1RV23MC007|Grace   |85     |83     |88     |
1RV23MC008|Hank    |79     |82     |85     |
1RV23MC009|Ivy     |92     |89     |91     |
1RV23MC010|Jack    |87     |80     |86     |
1RV23MC011|Kathy   |78     |85     |84     |
1RV23MC012|Leo     |83     |88     |87     |
1RV23MC013|Mona    |91     |92     |89     |
1RV23MC014|Nina    |85     |81     |90     |
1RV23MC015|Oscar   |80     |86     |82     |

